"","Country","Importation Risk","Stringency Index","Population","iso3","WHO_region"
"1","Australia",2.46004277962717,11.11,25991192,"AUS","Western Pacific Region"
"2","Austria",0.0955314264770775,35.19,25991192,"AUT","European Region"
"3","Bahrain",0.0222982801048807,11.11,1463265,"BHR","Western Pacific Region"
"4","Belgium",0.436323952329398,14.81,11657578,"BEL","European Region"
"5","Canada",1.4609089508674,19.39,38300219,"CAN","Region of the Americas"
"6","Czech",0.0185318275261121,11.11,10733584,"CZE","European Region"
"7","Denmark",0.124136481515616,11.11,5829050,"DNK","European Region"
"8","Egypt",0.00129377547022002,35.19,109262178,"EGY","African Region"
"9","Finland",0.00840086056734042,24.07,5553060,"FIN","European Region"
"10","France",0.927079467047042,11.11,65541518,"FRA","European Region"
"11","Germany",2.00856254884605,14.81,83873596,"DEU","European Region"
"12","Greece",0.00581885048209277,14.81,10331037,"GRC","European Region"
"13","Guam",0.0375376228745148,25.99,165718,"GUM","Western Pacific Region"
"14","Hungary",0.0848853769540357,5.56,9614059,"HUN","European Region"
"15","India",0.0225506055461856,37.04,1403018576,"IND","South-East Asia Region"
"16","Indonesia",0.015217697558003,29.8,278374305,"IDN","South-East Asia Region"
"17","Iran",0.0008440044522874,53.89,85753137,"IRN","Eastern Mediterranean Region"
"18","Israel",0.226803381418433,14.81,8886492,"ISR","European Region"
"19","Italy",0.661838752545662,18.3,60289670,"ITA","European Region"
"20","Japan",0.157438772637427,37.04,125710938,"JPN","Western Pacific Region"
"21","Jordan",0.00044269547189456,14.81,10284669,"JOR","Eastern Mediterranean Region"
"22","Luxembourg",0.132697601655888,15.42,640171,"LUX","European Region"
"23","Netherlands",0.934082504140838,11.11,17201147,"NLD","European Region"
"24","new Zealand",0.0438958481743725,11.11,4887903,"NZL","Western Pacific Region"
"25","Nigeria",0.00394069018938433,46.78,215000000,"NGA","African Region"
"26","Poland",0.0533487229713904,9.26,37756385,"POL","European Region"
"27","Portugal",0.0368266814093551,11.11,10148470,"PRT","European Region"
"28","Qatar",0.0299879269872575,13.89,2965915,"QAT","Eastern Mediterranean Region"
"29","Russia",0.00513350396722245,31.02,145830647,"RUS","European Region"
"30","Saudi Arabia",0.0106765222909059,11.11,35704209,"SAU","Eastern Mediterranean Region"
"31","Serbia",0.00186023474385082,11.11,8664716,"SRB","European Region"
"32","Singapore",0.196442681116328,18.27,5930746,"SGP","Western Pacific Region"
"33","South Africa",0.000412101190466709,11.11,60560135,"ZAF","African Region"
"34","South Korea",0.170170634165149,13.89,51321899,"KOR","Western Pacific Region"
"35","Spain",0.299256887738256,13.89,46726042,"ESP","European Region"
"36","Sweden",0.0205714282451657,0,10202771,"SWE","European Region"
"37","Switzerland",0.281341559125609,5.56,8757337,"CHE","European Region"
"38","Thailand",0.0703847328175137,29.63,70043103,"THA","South-East Asia Region"
"39","the Philippines",0.043107797932399,30.26,112109494,"PHL","Western Pacific Region"
"40","Turkey",0.00844723866034222,11.11,85394576,"TUR","European Region"
"41","U.K.",1.10410267069456,5.56,68415007,"GBR","European Region"
"42","U.S.",29.2485811776392,25.99,334282669,"USA","Region of the Americas"
"43","United Arab Emirates",0.0219343929566845,36.11,10055985,"ARE","Eastern Mediterranean Region"
