country,Population
Benin,12693326
Cameroon,27723248
Central African Republic,4990678
Congo,5797805
Democratic Republic of the Congo,94456492
Ghana,32213950
Liberia,5180208
Nigeria,215000000
South Africa,60560135
Iran (Islamic Republic of),85753137
Jordan,10284669
Lebanon,6700349
Morocco,37656156
Qatar,2965915
Saudi Arabia,35704209
Sudan,45696720
United Arab Emirates,10055985
Andorra,77463
Austria,25991192
Belgium,11657578
Bosnia and Herzegovina,3254017
Bulgaria,6858797
Croatia,4065586
Cyprus,1221187
Czechia,10733584
Denmark,5829050
Estonia,1322610
Finland,5553060
France,65541518
Georgia,3971638
Germany,83873596
Gibraltar,33691
Greece,10331037
Greenland,56973
Hungary,9614059
Iceland,344793
Ireland,5009499
Israel,8886492
Italy,60289670
Latvia,1853937
Lithuania,2669808
Luxembourg,640171
Malta,443733
Monaco,39783
Montenegro,627950
Netherlands,17201147
Norway,5498870
Poland,37756385
Portugal,10148470
Republic of Moldova,4016171
Romania,19059135
Russian Federation,145830647
Serbia,8664716
Slovakia,5460293
Slovenia,2078234
Spain,46726042
Sweden,10202771
Switzerland,8757337
The United Kingdom,68415007
T鐪塺kiye,85394576
Argentina,45899534
Aruba,105670
Bahamas,399516
Barbados,287923
Bermuda,63867
Bolivia (Plurinational State of),11949056
Brazil,214981893
Canada,38300219
Chile,19232195
Colombia,51426662
Costa Rica,5170554
Cuba,11308652
Cura鑾絘o,161577
Dominican Republic,11028270
Ecuador,18049661
El Salvador,6518500
Guadeloupe,399794
Guatemala,18492839
Guyana,794045
Honduras,10178047
Jamaica,2981894
Martinique,385551
Mexico,131206972
Panama,4429064
Paraguay,4429064
Peru,33589108
Puerto Rico,2833512
Saint Martin,40552
United States of America,334282669
Uruguay,3493116
Venezuela (Bolivarian Republic of),29151691
India,1403018576
Indonesia,278374305
Thailand,70043103
Australia,25991192
China,1447301400
Guam,165718
Japan,125710938
New Caledonia,279821
New Zealand,4887903
Philippines,112109494
Republic of Korea,51321899
Singapore,5930746
