"","departure_country","population","iso3","who_region"
"1","Andorra",77463,"AND","European Region"
"2","Argentina",45899534,"ARG","Region of the Americas"
"3","Aruba",105670,"ABW","Region of the Americas"
"4","Australia",25991192,"AUS","Western Pacific Region"
"5","Austria",25991192,"AUT","European Region"
"6","Bahamas",399516,"BHS","Region of the Americas"
"7","Barbados",287923,"BRB","Region of the Americas"
"8","Belgium",11657578,"BEL","European Region"
"9","Benin",12693326,"BEN","African Region"
"10","Bermuda",63867,"BMU","Region of the Americas"
"11","Bolivia",11949056,"BOL","Region of the Americas"
"12","Bosnia and Herzegovina",3254017,"BIH","European Region"
"13","Brazil",214981893,"BRA","Region of the Americas"
"14","Bulgaria",6858797,"BGR","European Region"
"15","Cameroon",27723248,"CMR","African Region"
"16","Canada",38300219,"CAN","Region of the Americas"
"17","Central African Republic",4990678,"CAF","African Region"
"18","Chile",19232195,"CHL","Region of the Americas"
"19","China",1447301400,"CHN","Western Pacific Region"
"20","Colombia",51426662,"COL","Region of the Americas"
"21","Congo",5797805,"COG","African Region"
"22","Costa Rica",5170554,"CRI","Region of the Americas"
"23","Croatia",4065586,"HRV","European Region"
"24","Cuba",11308652,"CUB","Region of the Americas"
"25","Curacao",161577,"CUW","Region of the Americas"
"26","Cyprus",1221187,"CYP","European Region"
"27","Czech",10733584,"CZE","European Region"
"28","Democratic Republic of Congo",94456492,"COD","African Region"
"29","Denmark",5829050,"DNK","European Region"
"30","Dominican Republic",11028270,"DOM","Region of the Americas"
"31","Ecuador",18049661,"ECU","Region of the Americas"
"32","salvador",6518500,"SLV","Region of the Americas"
"33","Estonia",1322610,"EST","European Region"
"34","Finland",5553060,"FIN","European Region"
"35","France",65541518,"FRA","European Region"
"36","Georgia",3971638,"GEO","European Region"
"37","Germany",83873596,"DEU","European Region"
"38","Ghana",32213950,"GHA","African Region"
"39","Gibraltar",33691,"GIB","European Region"
"40","Greece",10331037,"GRC","European Region"
"41","Greenland",56973,"GRL","European Region"
"42","Guadeloupe",399794,"GLP","Region of the Americas"
"43","Guam",165718,"GUM","Western Pacific Region"
"44","Guatemala",18492839,"GTM","Region of the Americas"
"45","Guyana",794045,"GUY","Region of the Americas"
"46","Honduras",10178047,"HND","Region of the Americas"
"47","Hungary",9614059,"HUN","European Region"
"48","Iceland",344793,"ISL","European Region"
"49","India",1403018576,"IND","South-East Asia Region"
"50","Indonesia",278374305,"IDN","South-East Asia Region"
"51","Iran",85753137,"IRN","Eastern Mediterranean Region"
"52","Ireland",5009499,"IRL","European Region"
"53","Israel",8886492,"ISR","European Region"
"54","Italy",60289670,"ITA","European Region"
"55","Jamaica",2981894,"JAM","Region of the Americas"
"56","Japan",125710938,"JPN","Western Pacific Region"
"57","Jordan",10284669,"JOR","Eastern Mediterranean Region"
"58","Latvia",1853937,"LVA","European Region"
"59","Lebanon",6700349,"LBN","Eastern Mediterranean Region"
"60","Liberia",5180208,"LBR","African Region"
"61","Lithuania",2669808,"LTU","European Region"
"62","Luxembourg",640171,"LUX","European Region"
"63","Malta",443733,"MLT","European Region"
"64","Martinique",385551,"MTQ","Region of the Americas"
"65","Mexico",131206972,"MEX","Region of the Americas"
"66","Monaco",39783,"MCO","European Region"
"67","Montenegro",627950,"MNE","European Region"
"68","Morocco",37656156,"MAR","Eastern Mediterranean Region"
"69","Netherlands",17201147,"NLD","European Region"
"70","new caledonia",279821,"NCL","Western Pacific Region"
"71","new Zealand",4887903,"NZL","Western Pacific Region"
"72","Nigeria",215000000,"NGA","African Region"
"73","Norway",5498870,"NOR","European Region"
"74","Panama",4429064,"PAN","Region of the Americas"
"75","Paraguay",4429064,"PRY","Region of the Americas"
"76","Peru",33589108,"PER","Region of the Americas"
"77","the Philippines",112109494,"PHL","Western Pacific Region"
"78","Poland",37756385,"POL","European Region"
"79","Portugal",10148470,"PRT","European Region"
"80","Puerto Rico",2833512,"PRI","Region of the Americas"
"81","Qatar",2965915,"QAT","Eastern Mediterranean Region"
"82","South Korea",51321899,"KOR","Western Pacific Region"
"83","Republic of Moldova",4016171,"MDA","European Region"
"84","Romania",19059135,"ROU","European Region"
"85","Russia",145830647,"RUS","European Region"
"86","st martin",40552,"MAF","Region of the Americas"
"87","Saudi Arabia",35704209,"SAU","Eastern Mediterranean Region"
"88","Serbia",8664716,"SRB","European Region"
"89","Singapore",5930746,"SGP","Western Pacific Region"
"90","Slovakia",5460293,"SVK","European Region"
"91","Slovenia",2078234,"SVN","European Region"
"92","South Africa",60560135,"ZAF","African Region"
"93","Spain",46726042,"ESP","European Region"
"94","Sudan",45696720,"SDN","Eastern Mediterranean Region"
"95","Sweden",10202771,"SWE","European Region"
"96","Switzerland",8757337,"CHE","European Region"
"97","Thailand",70043103,"THA","South-East Asia Region"
"98","U.K.",68415007,"GBR","European Region"
"99","Turkey",85394576,"TUR","European Region"
"100","United Arab Emirates",10055985,"ARE","Eastern Mediterranean Region"
"101","U.S.",334282669,"USA","Region of the Americas"
"102","Uruguay",3493116,"URY","Region of the Americas"
"103","Venezuela",29151691,"VEN","Region of the Americas"
"104","Mozambique",32077072,"MOZ","African Region"
"105","Bahrain",1463265,"BHR","Western Pacific Region"
"106","Egypt",109262178,"EGY","African Region"
"107","San Marino",33746,"SMR","European Region"
"108","Ukraine",43531422,"UKR","European Region"
"109","Viet Nam",97468028,"VNM","Western Pacific Region"
