departure_country,GHS,post-risk,population,iso3,who_region
Andorra,34.7,0,77463,AND,European Region
Argentina,41.5,16.5,45899534,ARG,Region of the Americas
Aruba,20.9,37.2,105670,ABW,Region of the Americas
Australia,65.2,12.6,25991192,AUS,Western Pacific Region
Austria,53.3,13,25991192,AUT,European Region
Bahamas,19.1,3.3,399516,BHS,Region of the Americas
Barbados,34.9,0,287923,BRB,Region of the Americas
Belgium,59.3,18,11657578,BEL,European Region
Benin,25.4,0,12693326,BEN,African Region
Bermuda,67.2,0,63867,BMU,Region of the Americas
Bolivia,29.9,17.8,11949056,BOL,Region of the Americas
Bosnia and Herzegovina,35.4,0,3254017,BIH,European Region
Brazil,51.2,30.5,214981893,BRA,Region of the Americas
Bulgaria,59.9,0.4,6858797,BGR,European Region
Cameroon,28.6,0,27723248,CMR,African Region
Canada,69.8,18.1,38300219,CAN,Region of the Americas
Central African Republic,18.6,1.3,4990678,CAF,African Region
Chile,56.2,39.8,19232195,CHL,Region of the Americas
China,47.5,0,1447301400,CHN,Western Pacific Region
Colombia,53.2,55,51426662,COL,Region of the Americas
Congo,26.3,0.5,5797805,COG,African Region
Costa Rica,40.8,0.3,5170554,CRI,Region of the Americas
Croatia,48.8,3.2,4065586,HRV,European Region
Cuba,30.5,0.2,11308652,CUB,Region of the Americas
Curacao,64.7,24.4,161577,CUW,Region of the Americas
Cyprus,41.9,2.1,1221187,CYP,European Region
Czech,52.8,3.2,10733584,CZE,European Region
Democratic Republic of Congo,26.1,9.5,94456492,COD,African Region
Denmark,64.4,11.4,5829050,DNK,European Region
Dominican Republic,34.5,16.8,11028270,DOM,Region of the Americas
Ecuador,50.8,17.8,18049661,ECU,Region of the Americas
salvador,40.8,0.4,6518500,SLV,Region of the Americas
Estonia,55.5,2,1322610,EST,European Region
Finland,70.9,2.6,5553060,FIN,European Region
France,61.9,27.9,65541518,FRA,European Region
Georgia,52.6,0,3971638,GEO,European Region
Germany,65.5,7.5,83873596,DEU,European Region
Ghana,34.4,13.8,32213950,GHA,African Region
Gibraltar,47.5,0,33691,GIB,European Region
Greece,51.5,2.3,10331037,GRC,European Region
Greenland,64.4,0,56973,GRL,European Region
Guadeloupe,61.9,0,399794,GLP,Region of the Americas
Guam,75.9,7.9,165718,GUM,Western Pacific Region
Guatemala,29.1,0.9,18492839,GTM,Region of the Americas
Guyana,30.8,3.3,794045,GUY,Region of the Americas
Honduras,26.2,0.1,10178047,HND,Region of the Americas
Hungary,49.4,1.8,9614059,HUN,European Region
Iceland,40,0,344793,ISL,European Region
India,29.7,0,1403018576,IND,South-East Asia Region
Indonesia,31.8,0,278374305,IDN,South-East Asia Region
Iran,42.9,0,85753137,IRN,Eastern Mediterranean Region
Ireland,40,24.3,5009499,IRL,European Region
Israel,41.6,14.5,8886492,ISR,European Region
Italy,51.9,6.5,60289670,ITA,European Region
Jamaica,31.8,3.5,2981894,JAM,Region of the Americas
Japan,60.5,0,125710938,JPN,Western Pacific Region
Jordan,42.8,0.1,10284669,JOR,Eastern Mediterranean Region
Latvia,61.9,0,1853937,LVA,European Region
Lebanon,33.4,1,6700349,LBN,Eastern Mediterranean Region
Liberia,7.6,0.3,5180208,LBR,African Region
Lithuania,64.3,0,2669808,LTU,European Region
Luxembourg,33.3,24.6,640171,LUX,European Region
Malta,40.2,5.9,443733,MLT,European Region
Martinique,26.2,0,385551,MTQ,Region of the Americas
Mexico,57,21.5,131206972,MEX,Region of the Americas
Monaco,33.3,0,39783,MCO,European Region
Montenegro,44.1,2.1,627950,MNE,European Region
Morocco,33.6,0.1,37656156,MAR,Eastern Mediterranean Region
Netherlands,64.7,15.5,17201147,NLD,European Region
new caledonia,61.9,0,279821,NCL,Western Pacific Region
new Zealand,62.5,0.3,4887903,NZL,Western Pacific Region
Nigeria,38,36.8,215000000,NGA,African Region
Norway,60.2,8.5,5498870,NOR,European Region
Panama,53.5,2.4,4429064,PAN,Region of the Americas
Paraguay,40.3,0.3,4429064,PRY,Region of the Americas
Peru,54.9,48.5,33589108,PER,Region of the Americas
the Philippines,45.7,0,112109494,PHL,Western Pacific Region
Poland,55.7,9,37756385,POL,European Region
Portugal,54.7,21.3,10148470,PRT,European Region
Puerto Rico,75.9,60.1,2833512,PRI,Region of the Americas
Qatar,48.7,0.4,2965915,QAT,Eastern Mediterranean Region
South Korea,65.4,0,51321899,KOR,Western Pacific Region
Republic of Moldova,41,0,4016171,MDA,European Region
Romania,45.7,0.3,19059135,ROU,European Region
Russia,49.1,0,145830647,RUS,European Region
st martin,61.9,0,40552,MAF,Region of the Americas
Saudi Arabia,44.9,0.1,35704209,SAU,Eastern Mediterranean Region
Serbia,45,4.4,8664716,SRB,European Region
Singapore,57.4,0.2,5930746,SGP,Western Pacific Region
Slovakia,54.4,1,5460293,SVK,European Region
Slovenia,67.8,1.9,2078234,SVN,European Region
South Africa,45.8,0,60560135,ZAF,African Region
Spain,60.9,35,46726042,ESP,European Region
Sudan,28.3,0.1,45696720,SDN,Eastern Mediterranean Region
Sweden,64.9,14.4,10202771,SWE,European Region
Switzerland,58.8,21.8,8757337,CHE,European Region
Thailand,68.2,0,70043103,THA,South-East Asia Region
U.K.,67.2,13.4,68415007,GBR,European Region
Turkey,50,0,85394576,TUR,European Region
United Arab Emirates,39.6,0,10055985,ARE,Eastern Mediterranean Region
U.S.,75.9,51.7,334282669,USA,Region of the Americas
Uruguay,40.3,1.1,3493116,URY,Region of the Americas
Venezuela,20.9,0.1,29151691,VEN,Region of the Americas
Mozambique,0,0,32077072,MOZ,African Region
Bahrain,0,0,1463265,BHR,Western Pacific Region
Egypt,0,0,109262178,EGY,African Region
San Marino,0,0,33746,SMR,European Region
Ukraine,0,0,43531422,UKR,European Region
Viet Nam,0,0,97468028,VNM,Western Pacific Region
